"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2018,"Toulouse","Ligue 1","opponent",25,38,52,467,152,32.5,12.29,4,0.1,0.3,18.7,28,6,6,52.1,47.8,0.11,-0.1,-1.8,"https://fbref.com/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats"
2018,"Troyes","Ligue 1","team",25,38,30,358,118,33,9.42,3.11,0.08,0.24,18.7,16,2,3,38,35.7,0.1,-8,-7.7,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats"
2018,"Troyes","Ligue 1","opponent",25,38,58,537,188,35,14.13,4.95,0.1,0.29,19.9,25,4,5,52,48.5,0.09,6,5.5,"https://fbref.com/en/squads/54195385/2017-2018/Troyes-Stats"
2018,"Udinese","Serie A","team",27,38,45,436,131,30,11.47,3.45,0.09,0.29,19.1,14,7,7,43.2,37.7,0.09,1.8,0.3,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats"
2018,"Udinese","Serie A","opponent",27,38,58,519,165,31.8,13.66,4.34,0.11,0.34,19.1,21,2,6,49.3,44.4,0.09,8.7,11.6,"https://fbref.com/en/squads/04eea015/2017-2018/Udinese-Stats"
2018,"Valencia","La Liga","team",25,38,63,473,175,37,12.45,4.61,0.12,0.31,18.7,26,8,8,56,49.8,0.11,7,5.2,"https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats"
2018,"Valencia","La Liga","opponent",25,38,38,481,159,33.1,12.66,4.18,0.07,0.22,19.2,35,3,5,48.3,44.4,0.09,-10.3,-9.4,"https://fbref.com/en/squads/dcc91a7b/2017-2018/Valencia-Stats"
2018,"Villarreal","La Liga","team",32,38,56,470,162,34.5,12.37,4.26,0.11,0.32,19.3,15,4,5,53.3,49.3,0.11,2.7,2.7,"https://fbref.com/en/squads/2a8183b3/2017-2018/Villarreal-Stats"
2018,"Villarreal","La Liga","opponent",32,38,50,512,149,29.1,13.47,3.92,0.09,0.3,18.4,26,5,8,53.4,47.2,0.09,-3.4,-2.2,"https://fbref.com/en/squads/2a8183b3/2017-2018/Villarreal-Stats"
2018,"Watford","Premier League","team",29,38,42,434,126,29,11.42,3.32,0.09,0.31,17.9,10,3,6,45,40.2,0.09,-3,-1.2,"https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats"
2018,"Watford","Premier League","opponent",29,38,63,407,150,36.9,10.71,3.95,0.14,0.38,17,17,6,6,51.8,47.2,0.12,11.2,9.8,"https://fbref.com/en/squads/2abfe087/2017-2018/Watford-Stats"
