"Season_End_Year","Squad","Comp","Team_or_Opponent","Num_Players","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err","Url"
2018,"Leverkusen","Bundesliga","team",24,34,645,482,292,291,62,325,560,58,235,480,83,397,390,1035,621,9,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Leverkusen","Bundesliga","opponent",24,34,708,491,322,307,79,325,633,51.3,308,524,130,394,427,1135,752,14,"https://fbref.com/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats"
2018,"Lille","Ligue 1","team",25,38,681,453,364,261,56,229,606,37.8,377,378,108,270,492,1173,776,21,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
2018,"Lille","Ligue 1","opponent",25,38,799,516,363,344,92,247,823,30,576,402,101,301,489,1288,744,12,"https://fbref.com/en/squads/cb188c0c/2017-2018/Lille-Stats"
2018,"Liverpool","Premier League","team",27,38,637,450,265,285,87,196,521,37.6,325,388,71,317,379,1016,788,12,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Liverpool","Premier League","opponent",27,38,658,435,373,240,45,210,649,32.4,439,465,174,291,506,1164,1111,39,"https://fbref.com/en/squads/822bd0ba/2017-2018/Liverpool-Stats"
2018,"Lyon","Ligue 1","team",26,38,639,411,283,285,71,207,573,36.1,366,352,101,251,450,1089,863,18,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"Lyon","Ligue 1","opponent",26,38,804,504,430,302,72,305,865,35.3,560,433,136,297,462,1266,756,28,"https://fbref.com/en/squads/d53c0b06/2017-2018/Lyon-Stats"
2018,"Mainz 05","Bundesliga","team",27,34,699,522,339,277,83,353,625,56.5,272,502,107,395,402,1101,796,15,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Mainz 05","Bundesliga","opponent",27,34,751,555,342,327,82,361,634,56.9,273,387,78,309,381,1132,712,19,"https://fbref.com/en/squads/a224b06a/2017-2018/Mainz-05-Stats"
2018,"Manchester City","Premier League","team",25,38,563,381,257,215,91,195,561,34.8,366,328,53,275,346,909,620,19,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester City","Premier League","opponent",25,38,635,416,418,169,48,229,732,31.3,503,473,152,321,599,1234,989,24,"https://fbref.com/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats"
2018,"Manchester Utd","Premier League","team",27,38,564,369,275,218,71,173,555,31.2,382,382,112,270,481,1045,926,20,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
2018,"Manchester Utd","Premier League","opponent",27,38,669,447,388,218,63,270,736,36.7,466,456,165,291,438,1107,1068,15,"https://fbref.com/en/squads/19538871/2017-2018/Manchester-United-Stats"
